x_data,y_data,best_fit,dely
0,3.6651665687188217e-06,5.489457621022308e-06,0.0
1,5.15776833878531e-06,6.401317426157923e-06,0.0
2,6.3850186830622e-06,7.222712193431706e-06,0.0
3,9.751664897767724e-06,8.059859086658228e-06,0.0
4,1.3615845035828744e-05,9.002860184088568e-06,0.0
5,1.7397102853330514e-05,1.0125544925058168e-05,0.0
6,2.6153699904387246e-05,1.1497949775000047e-05,0.0
7,3.0432491645244514e-05,1.3193042819899459e-05,0.0
8,3.753064228511626e-05,1.5292529945220548e-05,0.0
9,4.4877559886665754e-05,1.7891252580731963e-05,0.0
10,5.4662393712657175e-05,2.1102875348451783e-05,0.0
11,6.49447614620041e-05,2.5065731113786985e-05,0.0
12,8.39339728700722e-05,2.9947687135390467e-05,0.0
13,0.00010592497228238513,3.595473998967668e-05,0.0
14,0.00013242694593312122,4.333294039419379e-05,0.0
15,0.0001412001274482898,5.235867143062499e-05,0.0
16,0.00017562947494449013,6.332085404034648e-05,0.0
17,0.0002129279347320405,7.652710596784376e-05,0.0
18,0.0002480206607927148,9.230185342519962e-05,0.0
19,0.00029437423798533524,0.0001114569763111298,0.0
20,0.0003416897140964429,0.00014316555958252108,0.0
21,0.0003826533404527121,0.00018601298621521902,0.0
22,0.00043222430368303135,0.00023510048255935304,0.0
23,0.0004761399646512098,0.00028815158573859906,0.0
24,0.0005504383638722972,0.0003443814663084069,0.0
25,0.0006278878112746362,0.0004034921689565225,0.0
26,0.0007078415127578643,0.0004652615798510785,0.0
27,0.0007734662372484543,0.0005294167053712057,0.0
28,0.0008361555115912468,0.0005956515060823247,0.0
29,0.0008960585959632485,0.000663603018901639,0.0
30,0.0009539549601777164,0.0007328744682641664,0.0
31,0.0010284523729681462,0.000803072310880425,0.0
32,0.0011014405995243973,0.0008737982955843281,0.0
33,0.0011619904779967612,0.0009445713770385262,0.0
34,0.0012252602085834686,0.001014967177787013,0.0
35,0.0012525914054397971,0.0010845540964228273,0.0
36,0.0012875348713234649,0.0011529351792981556,0.0
37,0.0013362434424199678,0.0012196719686991759,0.0
38,0.0013773231600250199,0.0012843799971785194,0.0
39,0.0014161142215826368,0.001346693678958514,0.0
40,0.0014639769850094356,0.0014062633810022994,0.0
41,0.0015132660123498534,0.0014627793974711552,0.0
42,0.0015454564571909539,0.001515974523257756,0.0
43,0.001560050785609382,0.001565606881451748,0.0
44,0.0015798692202230425,0.001611500411747916,0.0
45,0.00160665312976368,0.0016534560011134977,0.0
46,0.0016298050416638224,0.0016913594897731046,0.0
47,0.0016629076320310748,0.0017251310573358875,0.0
48,0.001695811208828985,0.0017547121886877088,0.0
49,0.0017184158334134364,0.0017800925915041404,0.0
50,0.0017296103466889349,0.001801292303338889,0.0
51,0.0017483010377429898,0.001818367859515786,0.0
52,0.0017680199655719792,0.001831395050007026,0.0
53,0.001773907450331686,0.0018404821989547798,0.0
54,0.0017873242817981725,0.0018457509269158019,0.0
55,0.0017953843313565315,0.00184734979586213,0.0
56,0.0017950526420742944,0.0018454466913902718,0.0
57,0.001786296045023238,0.0018402168475039466,0.0
58,0.0017861302003821192,0.0018318480072004326,0.0
59,0.001772016821422935,0.00182053725561292,0.0
