t,TI,currently_infected,DR,recovered,C,critical,D,deaths,TI+DR+D,total_cases,H,isolated
500.0,0.0005162636136775155,0.0006877411422543024,7.109909838484456e-05,0.0004058218368169636,8.116411018141908e-06,-1.890628908750885e-06,1.739353651055199e-05,4.295376204969167e-06,0.0006047562485729121,0.00014985721771466898,0.00034140369535284057,-0.0002493142489934392
501.0,0.0005836153085012751,0.0006865304763741373,8.630293920964552e-05,0.00042960395835335563,8.88627977108464e-06,-2.0730580139812336e-06,1.8225999306220685e-05,4.709987807765582e-06,0.0006881442470171412,0.0001728432849736894,0.00038610895150935755,-0.0002498449518450183
502.0,0.0006539862010087219,0.0006802117955475225,0.00010342047517335655,0.00045884236858255434,9.735497892867664e-06,-2.2057337268760325e-06,1.913783612716506e-05,4.909001377107619e-06,0.0007765445123092434,0.00019596202794561202,0.0004335209899895297,-0.00025569926767650137
503.0,0.0007268934862100414,0.0006813063701789046,0.000122540370451275,0.00048070069228196843,1.065893854200862e-05,-2.2057337268760325e-06,2.013657919658534e-05,5.025092625890546e-06,0.0008695704358579017,0.00021903101752519805,0.0004833796506831135,-0.00025438909501166525
504.0,0.0008018272863633072,0.0006704435461856429,0.00014373825710685073,0.0005060583379089822,1.1650735771810226e-05,-2.2554871192115823e-06,2.1229219452799665e-05,5.240690659344925e-06,0.0009667947629229575,0.00023374143719240292,0.0005353852139799788,-0.0002654509325742691
505.0,0.000878260774588577,0.0006741418816825854,0.00016707526416154988,0.0005274025432209367,1.2704390428534899e-05,-2.272071583323432e-06,2.2422114068917614e-05,5.5723799415817975e-06,0.0010677581528190443,0.0002591156672835382,0.0005892074116432692,-0.0002613877388668659
506.0,0.0009556616661716911,0.0006915721534641396,0.0001925989669678988,0.0005452971799976281,1.3812953216634744e-05,-2.3715783679945313e-06,2.372100333314914e-05,5.953822616154396e-06,0.001171981636472739,0.00029482201851635526,0.0006444972507480228,-0.00024352627101840356
507.0,0.0010335012869532188,0.0006783045821746597,0.00022034206212628358,0.0005994288708587037,1.4969110192797815e-05,-2.3384094397708317e-06,2.5130922522781668e-05,6.1030827931607065e-06,0.001278974271602284,0.00033583539826495534,0.0007008936882476465,-0.00025651190641798197
508.0,0.0011112626613018744,0.0007083888000735554,0.0002503222740857041,0.0006171742474583852,1.6165291269219578e-05,-2.2057337268760325e-06,2.665616716345819e-05,6.285511898391268e-06,0.0013882411025510366,0.00038384742186875487,0.0007580302824788477,-0.00022654377976786925
509.0,0.0011884484592527965,0.0007212749286884628,0.0002825433241263008,0.0006557828799107629,1.7393807402901245e-05,-2.1891492627641827e-06,2.8300310135834298e-05,6.5011099318452135e-06,0.0014992920935149316,0.00043555778096951436,0.0008155430681191367,-0.00021405567829164637
510.0,0.0012645889301932077,0.0007647593935897331,0.00031699470286278075,0.0006640916964308075,1.8646954902883346e-05,-2.288656047435282e-06,3.006615664553346e-05,6.5508633241809396e-06,0.0016116497897015218,0.0004874008157831483,0.0008730766849832084,-0.00017088631820850108
511.0,0.0013392455206453953,0.0007881766569156651,0.0003536512723192678,0.0006748881825676123,1.991706106639913e-05,-2.1891492627641827e-06,3.1955703897324266e-05,6.6669545729638666e-06,0.0017248524968619873,0.0005217306564946761,0.0009302869615502351,-0.00014843095380105643
