t,TI,currently_infected,DR,recovered,C,critical,D,deaths,TI+DR+D,total_cases,H,isolated
170.0,5.489457621022308e-06,0.00022871634456652157,0.0,3.913933530396568e-06,4.975339233554962e-07,6.633785644739942e-08,1.160912487829491e-07,1.658446411185446e-07,5.605548869805257e-06,7.894204917239904e-06,3.3168928223699742e-06,4.112947099738768e-06
171.0,6.2754143007786646e-06,0.00023352583915895803,1.5651638737181175e-07,7.662022419674917e-06,4.5837134215576295e-07,9.950678467109923e-08,1.600246098271451e-07,2.6535142578967136e-07,6.591955297977621e-06,1.6551295183625872e-05,3.637781526710926e-06,8.773181515168597e-06
172.0,6.948973859016729e-06,0.00023631202912974882,3.3114362947358525e-07,1.4345561456750259e-05,4.253311440913296e-07,1.1609124878294903e-07,2.00632829019741e-07,3.1510481812518053e-07,7.480750317510055e-06,2.607077758382762e-05,4.026095897893031e-06,1.1791553983525268e-05
173.0,7.576023542277304e-06,0.00023891578999530924,5.233775313485558e-07,1.9553083187871367e-05,3.9727368481364575e-07,9.950678467109923e-08,2.3842760489433554e-07,2.9354501477974262e-06,8.337828678520196e-06,3.650240551018088e-05,4.455868675410081e-06,1.4527990561980495e-05
174.0,8.209990214009949e-06,0.00024433890975988416,7.334457868392357e-07,2.197441494820136e-05,3.7359030474207253e-07,1.1609124878294903e-07,2.738620773412256e-07,3.001788004244844e-06,9.21729807819041e-06,4.441319489153356e-05,4.91926157985223e-06,1.9553083187871014e-05
175.0,8.888646450658729e-06,0.00024656122795087206,9.623548224744015e-07,2.4992787416557895e-05,3.541458813718995e-07,1.4926017700664874e-07,3.073103005939021e-07,3.068125860692262e-06,1.0158311573727032e-05,4.972022340732525e-05,5.42366945057212e-06,2.1360789776062635e-05
176.0,9.642393904387368e-06,0.0002502429789837027,1.211855981783949e-06,2.7878484172019595e-05,3.3882129637490716e-07,1.4926017700664874e-07,3.391555454638212e-07,3.15104818125148e-06,1.1193405431635138e-05,5.637059351617721e-05,5.977477917801816e-06,2.449525349320226e-05
177.0,1.049625539059154e-05,0.00025473736875801403,1.4843552671347178e-06,3.39152291087331e-05,3.275530043213464e-07,2.819358899014478e-07,3.697790554301549e-07,3.267139430034407e-06,1.2350389713156413e-05,6.701781947598528e-05,6.590940454621797e-06,2.8475524880046247e-05
178.0,1.1472234290434233e-05,0.00026558360828716387,1.7828078086684082e-06,3.690043264886625e-05,3.2035729701889384e-07,3.151048181251476e-07,3.995537706670608e-07,3.3666462147055338e-06,1.3654595869769701e-05,8.094876932993912e-05,7.276671942724165e-06,3.90066595910709e-05
179.0,1.2594023205795102e-05,0.00027659569245743214,2.1113766732371694e-06,4.144457581551318e-05,3.172901434571696e-07,3.316892822369974e-07,4.289122834775393e-07,3.5159063917121697e-06,1.5134312162509811e-05,9.665425684386112e-05,8.050074567004925e-06,4.9405118589200775e-05
180.0,1.3872737770799299e-05,0.0002902778753497083,2.4722209661409423e-06,4.547460059469268e-05,3.183818025879715e-07,2.4876696167774797e-07,4.580630061600659e-07,3.5656597840477873e-06,1.6803021743100306e-05,0.00011441621790765199,8.918549033306987e-06,6.308730148147691e-05
181.0,1.534064767063878e-05,0.0003057843492942879,2.872698584755321e-06,4.9902652512556246e-05,3.2376110047720624e-07,3.316892822369974e-07,4.876257051746313e-07,3.6817510328307143e-06,1.870097196056873e-05,0.00013446683501887845,9.904570611267506e-06,7.773138329224033e-05
182.0,1.7013095558099544e-05,0.00031833878862695827,3.316691647652723e-06,5.3086869622031435e-05,3.335293959201891e-07,2.65351425789598e-07,5.178764646514846e-07,3.748088889278132e-06,2.084766367040375e-05,0.00015027182931747103,1.1019020870556315e-05,8.91249101370812e-05
183.0,1.8912539315028062e-05,0.00032694612550100835,3.8098047475342515e-06,5.894118545351481e-05,3.478367362362999e-07,2.819358899014478e-07,5.492097518282583e-07,3.8144267457254416e-06,2.327155381439057e-05,0.00016479981987945185,1.2277518235212377e-05,9.750006451356543e-05
184.0,2.1067381826558012e-05,0.00034417738371322036,4.359367556662177e-06,6.414870718463549e-05,3.66903578631437e-07,3.316892822369974e-07,5.821029441084581e-07,4.030024779179495e-06,2.6008852327328645e-05,0.00018745419785623843,1.3699667478291894e-05,0.00011473132272577744
185.0,2.3497649130817094e-05,0.0003637304669010914,4.970794234748789e-06,6.78802116098015e-05,3.909206546014583e-07,2.985203540132976e-07,6.168697472607533e-07,4.112947099738822e-06,2.9085313112826635e-05,0.00021082170778983535,1.5299242203531743e-05,0.00013305715556937152
186.0,2.6239703500575608e-05,0.0003820231308164618,5.653703838174258e-06,7.365160512072533e-05,4.202038805525197e-07,4.1461160279624683e-07,6.540994576028985e-07,4.262207276745458e-06,3.254750679635276e-05,0.00023503502539313614,1.710129258063334e-05,0.00015045425842270203
187.0,2.9328139647569883e-05,0.0004006143150858455,6.417540437974014e-06,7.899180256474127e-05,4.5509473094948565e-07,4.97533923355496e-07,6.943264738429499e-07,4.278791740857258e-06,3.6440006559386847e-05,0.00025898299157064725,1.9129582944298623e-05,0.000169128365012645
188.0,3.279776512510637e-05,0.00041801141793917603,7.272182495308098e-06,8.416615536763813e-05,4.959895339518642e-07,6.136251721384453e-07,7.380546049348757e-07,4.345129597304676e-06,4.0808002225349346e-05,0.0002816207850833228,2.140793763572374e-05,0.00018503286609590903
189.0,3.66848109088786e-05,0.00043248965510882096,8.227780352246838e-06,8.61065376687245e-05,5.432779184389745e-07,7.463008850332441e-07,7.858241773183351e-07,4.444636381975803e-06,4.569841543844377e-05,0.00029813891133872485,2.3961207191293544e-05,0.00019876480238052073
190.0,4.103439520268579e-05,0.0004437007528484315,9.297504456321863e-06,9.093261672527301e-05,5.974953098820956e-07,9.618989184872927e-07,8.38282420631466e-07,4.577312094870638e-06,5.117018207963912e-05,0.00031430876384777855,2.6820335393063265e-05,0.00020823453138838697
191.0,4.588939021718174e-05,0.0004613300381993279,1.04937614848661e-05,9.519482400201836e-05,6.591399671966738e-07,9.950678467109923e-07,8.96049772841874e-07,4.676818879541657e-06,5.7279201474889715e-05,0.0003362997632600914,3.0014724661629153e-05,0.00022488533335668424
192.0,5.130127729345341e-05,0.00047953977979413906,1.1831865614322236e-05,9.998773413034305e-05,7.288342896819099e-07,1.177496951941341e-06,9.598623318312944e-07,4.842663520660201e-06,6.409300523960695e-05,0.0003594682596243454,3.357959034706585e-05,0.00024178490228665928
193.0,5.732428787146392e-05,0.0004991757853025693,1.3328060277604052e-05,0.00010889359135840635,8.072407743442111e-07,1.1940814160531908e-06,1.0304928288874105e-06,5.025092625890546e-06,7.168284097795537e-05,0.00038819255146606974,3.755200698040551e-05,0.000259712707991569
194.0,6.401328037068051e-05,0.0005173357735050449,1.4998926397574544e-05,0.00011856233393561484,8.950288505967029e-07,1.1940814160531908e-06,1.1087283852936735e-06,5.273859587568309e-06,8.012093515354874e-05,0.00041627004920743137,4.196951575885014e-05,0.00027765709816059055
195.0,7.143325437027246e-05,0.0005319964397799201,1.6864826168543293e-05,0.000125279041900914,9.930096037382003e-07,1.3930949853953892e-06,1.1955082533795036e-06,5.406535300463036e-06,8.949358879219526e-05,0.0004377800991605006,4.687663567214447e-05,0.00029107392962707707
196.0,7.965119699724283e-05,0.0005471712244422628,1.8947021492929056e-05,0.00012897737739785663,1.1020289746973346e-06,1.5423551624020383e-06,1.2918096249571244e-06,5.6055488698052896e-06,9.989002811512901e-05,0.0004568522328891279,5.2319707266196223e-05,0.00030550241340438655
197.0,8.873829254306515e-05,0.0005603724578752954,2.126848345454435e-05,0.00013831443069282825,1.2229969069421613e-06,1.558939626513888e-06,1.3986801167916814e-06,5.771393510923726e-06,0.00011140545611440117,0.0004795563642582502,5.834833252197602e-05,0.00031800709934472134
198.0,9.877248455178836e-05,0.0005760447764609934,2.3854879924700336e-05,0.00014612571328950948,1.3569092268385953e-06,1.6750308752968371e-06,1.517278951545531e-06,6.003576008489688e-06,0.00012414464342803424,0.0005032721479381963,6.501666907607456e-05,0.0003332648063276232
199.0,0.0001098347429144243,0.0005921980445059352,2.6733178665354233e-05,0.0001562919897900735,1.50480012387156e-06,1.9072133728627352e-06,1.648819641420191e-06,6.169420649608124e-06,0.00013821674122119874,0.0005297575371248199,7.23810000513946e-05,0.0003482239929565117
200.0,0.00012201390017583059,0.0006097609920003843,2.9933888251030057e-05,0.00016536369165925545,1.667800253564063e-06,2.089642478093084e-06,1.7946645456944728e-06,6.335265290726669e-06,0.00015374245297255511,0.0005565580311295698,8.050316906726546e-05,0.00036538891331227636
201.0,0.00013540315792986933,0.0006219671575867057,3.348954216377166e-05,0.00017795129992014946,1.8471004723122569e-06,2.205733726876033e-06,1.9562599739085235e-06,6.434772075397796e-06,0.00017084896006754952,0.0005814513117614563,8.944833530025908e-05,0.00037578737231040623
202.0,0.00015010282002571535,0.0006386511284832267,3.743593270638016e-05,0.00018529821752169898,2.043987173229949e-06,2.2886560474352823e-06,2.1351877131736398e-06,6.550863324180723e-06,0.00018967394044526917,0.0006055982915083094,9.928695834267026e-05,0.00039087923465218967
203.0,0.00016621371676089425,0.0006498953951510609,4.180918588027235e-05,0.00019053890818104347,2.2597516180335493e-06,2.454500688553781e-06,2.333043207535751e-06,6.783045821746577e-06,0.00021035594584870235,0.0006223154313330544,0.00011008984873129126,0.0004006308995499574
204.0,0.00018385218211360837,0.0006586022388097821,4.66528442123871e-05,0.0002020651107387788,2.4958852975431256e-06,2.5208385450011804e-06,2.5517296163063785e-06,6.932305998753321e-06,0.00023305675594230185,0.0006426977377265181,0.00012193921447009706,0.0004076129589410461
205.0,0.0002031308542065811,0.000672201499381499,5.200877727809705e-05,0.00021234747848812574,2.7538306931762303e-06,2.6203453296722796e-06,2.793080707474391e-06,7.131319568095466e-06,0.0002579327121921526,0.0006667783796169236,0.0001349145594941768,0.0004200678914890454
206.0,0.0002241782292894971,0.0006868124122640387,5.792730553542193e-05,0.00022377417426119048,3.0352234795330856e-06,2.703267650231529e-06,3.0592810675427826e-06,7.34691760154952e-06,0.0002851648158924618,0.0006930315863059823,0.0001491071640537103,0.0004335510608119793
207.0,0.0002471255775741817,0.00070412659279681,6.446047696063654e-05,0.00023792072214859827,3.3417337422965495e-06,2.63692979378413e-06,3.3525859884221048e-06,7.5127622426680645e-06,0.0003149386405232403,0.0007246581593672802,0.00016461049839790702,0.00045028478510083587
208.0,0.0002720983802376314,0.0007158020555315523,7.165707453315643e-05,0.0002529960000262699,3.6749604681289545e-06,2.753021042567079e-06,3.675115985659402e-06,7.910789381352463e-06,0.00034743057075644723,0.0007518069271183784,0.00018151363681104742,0.00046196024783557815
209.0,0.00029925230626372067,0.0007313416984043557,7.958343821747742e-05,0.0002635271347372946,4.036874515401102e-06,2.869112291350028e-06,4.029714340888593e-06,8.159556343030117e-06,0.0003828654588220867,0.0007781264716638838,0.00019992884928497594,0.00047763256642127633
210.0,0.0003287296394365003,0.0007476110576980804,8.82986258237615e-05,0.00026936486610466565,4.42927889455415e-06,3.0349569324685263e-06,4.418921971404992e-06,8.441492232931589e-06,0.00042144718723166684,0.0008005154982148816,0.0002199581727769759,0.000491911790021579
211.0,0.0003606889848064297,0.0007544106879839388,9.787189059254017e-05,0.0002854020429008245,4.854173528847756e-06,3.1510481812514754e-06,4.845695897734506e-06,8.673674730497551e-06,0.0004634065712967044,0.0008235844877944641,0.00024171625776898145,0.0004964559331882259
212.0,0.00039529449949879576,0.0007647759780538449,0.0001083756517545209,0.0003019035846921151,5.3136271068391235e-06,3.2339705018107248e-06,5.313123798093055e-06,9.005364012734532e-06,0.0005089832750514097,0.0008507830089378981,0.00026532201433678823,0.0005058427398755329
213.0,0.00043271707237416607,0.000775821231152337,0.00011988753053989424,0.00032009674182281473,5.809781805747207e-06,3.2671394300344244e-06,5.824502172359518e-06,9.386806687307022e-06,0.0005584291050864199,0.000880402861841662,0.0002908996647861785,0.0005156441581656362
214.0,0.0004731290483560526,0.0007913774584892522,0.0001324890199048658,0.0003359183205855192,6.34477496596125e-06,3.2339705018107248e-06,6.38327479059753e-06,9.718495969544003e-06,0.0006120013430515159,0.0009121123572235186,0.0003185748807856238,0.000531134047646104
215.0,0.0005167134633424597,0.0008058888645871208,0.00014626782007782702,0.00035212134202279675,6.920876146478996e-06,3.2837238941462746e-06,6.993140694248529e-06,1.0000431859445475e-05,0.0006699744241145352,0.0009431087206485667,0.00034848154595765385,0.0005454464401746305
216.0,0.0005636596054353403,0.0008228879403017669,0.00016131696841700674,0.0003641284940397761,7.5404245101473905e-06,3.3998151429292236e-06,7.65801175376124e-06,1.0282367749346946e-05,0.0007326345856061083,0.0009723968842700933,0.0003807587440399547,0.0005606709782293086
