t,TI,currently_infected,DR,recovered,D,deaths,TI+DR+D,total_cases
0.0,1.6100493378103458e-08,3.8055711620971815e-08,0.0,2.9273624323824472e-09,0.0,0.0,1.6100493378103458e-08,4.0983074053354255e-08
1.0,5.514335181532526e-08,4.1714914661449874e-08,2.660845962731024e-09,2.9273624323824472e-09,1.3176142176397874e-12,7.318406080956116e-10,5.7805515392273924e-08,4.5374117701927926e-08
2.0,8.286038822660363e-08,4.97651613505016e-08,7.855314835921758e-09,2.9273624323824472e-09,7.095921167609483e-12,7.318406080956116e-10,9.0722798983693e-08,5.342436439097965e-08
3.0,1.0528493774140705e-07,5.5619886215266496e-08,1.4909878414207304e-08,2.9273624323824472e-09,2.109366830161921e-11,1.4636812161912232e-09,1.20215909823916e-07,6.001092986384016e-08
4.0,1.2587718423732057e-07,7.025669837717872e-08,2.350026079882173e-08,2.9273624323824472e-09,4.696034427951136e-11,1.4636812161912232e-09,1.494244053804218e-07,7.46477420257524e-08
5.0,1.4627158155628067e-07,7.172037959336996e-08,3.3561693828758375e-08,9.513927905242952e-09,8.839685550114144e-11,1.4636812161912232e-09,1.799216722405402e-07,8.269798871480414e-08
6.0,1.6733286996337537e-07,7.611142324194363e-08,4.513985945509167e-08,9.513927905242952e-09,1.4873915740109568e-10,1.4636812161912232e-09,2.1262146857586815e-07,8.70890323633778e-08
7.0,1.897384353943366e-07,9.148007601195147e-08,5.831623936472647e-08,1.0245768513338564e-08,2.3100077517437758e-10,2.195521824286835e-09,2.482856755342375e-07,1.0392136634957686e-07
8.0,2.1400933682044881e-07,1.0172584452529005e-07,7.321195953454274e-08,1.0245768513338564e-08,3.380882700082275e-10,2.195521824286835e-09,2.875593846249998e-07,1.1416713486291545e-07
9.0,2.4055599061667846e-07,1.2807210641673208e-07,8.998264140381977e-08,1.0977609121434176e-08,4.728737855924573e-10,2.9273624323824472e-09,3.3101150580609066e-07,1.4197707797054868e-07
10.0,2.697582020623981e-07,1.6027309317293897e-07,1.0881833174686377e-07,1.4636812161912234e-08,6.383657896130319e-10,3.659203040478058e-09,3.792148995988749e-07,1.7856910837532928e-07
11.0,3.019419474620456e-07,2.2174770425297038e-07,1.2992363850396902e-07,1.6832333986199073e-08,8.375462275439766e-10,2.9273624323824472e-09,4.327031321935586e-07,2.4150740067155185e-07
12.0,3.3743886870628625e-07,2.649263001306115e-07,1.5353005279086545e-07,1.975969641858152e-08,1.073636585495659e-09,5.122884256669282e-09,4.920425580826474e-07,2.8980888080586226e-07
13.0,3.767395906834617e-07,3.381103609401726e-07,1.8002662209413123e-07,1.975969641858152e-08,1.351817398638562e-09,7.318406080956117e-09,5.581180301762315e-07,3.6518846343971035e-07
14.0,4.2032086645823605e-07,3.556745355344673e-07,2.0981653786754636e-07,2.9273624323824468e-08,1.6773852541726535e-09,7.318406080956117e-09,6.31814789579955e-07,3.922665659392479e-07
15.0,4.6818938895176975e-07,4.405680460735583e-07,2.429054604215363e-07,3.1469146148111303e-08,2.0504145094096583e-09,8.78208729714734e-09,7.131452638827158e-07,4.808192795188169e-07
16.0,5.206056614765942e-07,4.84478482559295e-07,2.795168494629008e-07,3.2932827364302533e-08,2.473954028238815e-09,1.4636812161912234e-08,8.025964649677339e-07,5.320481220855097e-07
