x_data,y_data,best_fit,dely
0,3.8055711620971815e-08,1.6100493378103458e-08,0.0
1,4.1714914661449874e-08,5.514335181532526e-08,0.0
2,4.97651613505016e-08,8.286038822660363e-08,0.0
3,5.5619886215266496e-08,1.0528493774140705e-07,0.0
4,7.025669837717872e-08,1.2587718423732057e-07,0.0
5,7.172037959336996e-08,1.4627158155628067e-07,0.0
6,7.611142324194363e-08,1.6733286996337537e-07,0.0
7,9.148007601195147e-08,1.897384353943366e-07,0.0
8,1.0172584452529005e-07,2.1400933682044881e-07,0.0
9,1.2807210641673208e-07,2.4055599061667846e-07,0.0
10,1.6027309317293897e-07,2.697582020623981e-07,0.0
11,2.2174770425297038e-07,3.019419474620456e-07,0.0
12,2.649263001306115e-07,3.3743886870628625e-07,0.0
13,3.381103609401726e-07,3.767395906834617e-07,0.0
14,3.556745355344673e-07,4.2032086645823605e-07,0.0
15,4.405680460735583e-07,4.6818938895176975e-07,0.0
16,4.84478482559295e-07,5.206056614765942e-07,0.0
17,5.810814428279157e-07,5.786082095478845e-07,0.0
18,6.432878945160427e-07,6.423048116875368e-07,0.0
19,6.601202285022418e-07,7.095510359534328e-07,0.0
20,8.174659592427983e-07,7.877655296428011e-07,0.0
21,9.067505134304628e-07,8.724124361640436e-07,0.0
22,1.3114583697073362e-06,9.640416174410897e-07,0.0
23,1.6685965864579946e-06,1.0636837873407768e-06,0.0
24,1.685428920444194e-06,1.1726717599094181e-06,0.0
25,2.0250029626005574e-06,1.291581174980673e-06,0.0
26,2.3858003823916943e-06,1.421093901790831e-06,0.0
27,3.1227638747439757e-06,1.5623925171482982e-06,0.0
28,3.4689244823731998e-06,1.715509279908086e-06,0.0
29,3.828990061556241e-06,1.8822688807609726e-06,0.0
30,4.302490934994102e-06,2.063261785669937e-06,0.0
31,4.814047520052934e-06,2.259565782713045e-06,0.0
32,5.261202131599352e-06,2.472377594430994e-06,0.0
33,5.703965699497198e-06,2.7027579782283855e-06,0.0
34,6.523627180564283e-06,2.951900431172878e-06,0.0
35,7.124468319810779e-06,3.221070343922846e-06,0.0
36,7.67334877588249e-06,3.511589278037282e-06,0.0
37,8.20686057918419e-06,3.825062632721184e-06,0.0
38,8.65401519073061e-06,4.163026333508467e-06,0.0
39,9.322185665921902e-06,4.52701630593304e-06,0.0
40,1.0393600316173875e-05,4.918607018160541e-06,0.0
41,1.0739029083195006e-05,5.340663231800981e-06,0.0
42,1.131425580115816e-05,5.795625603282395e-06,0.0
43,1.1942906883512286e-05,6.283914249451466e-06,0.0
44,1.2693043506810292e-05,6.80732574656547e-06,0.0
45,1.3357554778961104e-05,7.366646756935164e-06,0.0
46,1.4284796829418245e-05,7.965659916348372e-06,0.0
47,1.49924866974467e-05,8.605662190504343e-06,0.0
48,1.56430929980437e-05,9.288560468932832e-06,0.0
49,1.651691068410986e-05,1.0017370897504049e-05,0.0
50,1.7231918958219275e-05,1.0794580195175936e-05,0.0
51,1.803328442408397e-05,1.1620201746931748e-05,0.0
52,1.9047615506904487e-05,1.2496845931216011e-05,0.0
53,2.016733163729077e-05,1.3428764689264583e-05,0.0
54,2.147147160091715e-05,1.4416017918194796e-05,0.0
55,2.3436463633653876e-05,1.545659331255584e-05,0.0
56,2.4564230010729207e-05,1.6567666566084374e-05,0.0
57,2.6251854452997685e-05,1.7738362857792165e-05,0.0
58,2.758014515669123e-05,1.8971688492644327e-05,0.0
59,2.914408853619155e-05,2.0271949419188195e-05,0.0
60,3.03025922188069e-05,2.1642402075745617e-05,0.0
61,3.218634994404501e-05,2.3086248306776815e-05,0.0
62,3.3609779926790966e-05,2.460668995674202e-05,0.0
63,3.473095973839344e-05,2.6203544648731548e-05,0.0
64,3.593630121992692e-05,2.787502884430673e-05,0.0
65,3.7601238603344434e-05,2.963002144535313e-05,0.0
66,3.862142441102972e-05,3.1472760383562335e-05,0.0
67,3.919226008534429e-05,3.340338722481883e-05,0.0
68,4.0893789499166593e-05,3.542270327751015e-05,0.0
69,4.2402112992451656e-05,3.753367337062203e-05,0.0
70,4.454274677113132e-05,3.9738618151490455e-05,0.0
71,4.623183489461599e-05,4.2039551491893766e-05,0.0
72,4.836661394843089e-05,4.443846455864154e-05,0.0
73,5.067557106697254e-05,4.693733546478142e-05,0.0
74,5.354877729435591e-05,4.9537492419285974e-05,0.0
75,5.621999551390489e-05,5.224107811253327e-05,0.0
76,5.859994117143182e-05,5.505020717778426e-05,0.0
77,6.013680644843261e-05,5.796699424829987e-05,0.0
78,6.279411969642777e-05,6.099329114634546e-05,0.0
79,6.568635377962164e-05,6.412967999472861e-05,0.0
