x_data,y_data,best_fit,dely
532,0.000105281099026,4.992556415133328e-05,0.0
533,0.0001168952030733,5.041100153442392e-05,0.0
534,0.0001209676811159,5.084215569061752e-05,0.0
535,0.0001263976518393,5.2140791238988106e-05,0.0
536,0.0001352967705249,5.485978317441493e-05,0.0
537,0.0001547541656171,5.936291888408493e-05,0.0
538,0.0001775298761514,6.592719712372034e-05,0.0
539,0.0001957806110828,7.480244935737997e-05,0.0
540,0.0002132771834138,8.623517024587712e-05,0.0
541,0.0002437453524729,0.00010048001717439621,0.0
542,0.0002689343833287,0.0001178034420877041,0.0
543,0.0002891459410214,0.00013847936090027597,0.0
544,0.0003262507409647,0.00016278597989982915,0.0
545,0.0003654671961893,0.0001910005203900975,0.0
546,0.0004208227310641,0.00022339122519175587,0.0
547,0.0004689383049743,0.0002602131194511682,0.0
548,0.0005285171504116,0.00030169485378742295,0.0
549,0.0005725602462793,0.00034803627036158227,0.0
550,0.0006086092185819,0.00039940128426520146,0.0
551,0.0006586856152533,0.0004559084971518364,0.0
552,0.0007080078493243,0.0005176275643568222,0.0
553,0.0007497884573905,0.0005845722911978639,0.0
554,0.0007932282231778,0.0006566993775579288,0.0
555,0.0008555220539769,0.0007339052286572033,0.0
556,0.0009045426230076,0.0008160237434496219,0.0
557,0.0009381782749888,0.0009028245089091928,0.0
558,0.0010049970813907,0.000994016866795446,0.0
559,0.0010795083463174,0.0010892514029529018,0.0
560,0.0011475338128801,0.001188122971680019,0.0
561,0.0012092243135989,0.0012901738904161418,0.0
562,0.0012873555590079,0.0013949023195510384,0.0
563,0.0013964074710363,0.0015017664231413935,0.0
564,0.0014912811261759,0.001610193459332315,0.0
565,0.0016614202088427,0.001719586699152424,0.0
566,0.0016501077698356,0.0018293311223988567,0.0
567,0.0017476964103368,0.001938804622075761,0.0
568,0.0017769579192352,0.0020473863333589424,0.0
569,0.0019166288328428,0.0021544577451748457,0.0
570,0.0021665583186397,0.0022594208136245495,0.0
571,0.0021728932844837,0.0023616940719655686,0.0
572,0.0022730460778265,0.0024607288499028917,0.0
573,0.0025368521554721,0.0025561580800374075,0.0
574,0.0025935651830277,0.0026478594380764365,0.0
575,0.0027659667534959,0.002735607819844975,0.0
576,0.0028670245419593,0.002818802522572442,0.0
577,0.0029597865418175,0.0028969779590601523,0.0
578,0.0029950813515197,0.0029697396824964273,0.0
579,0.0029950813515197,0.003036754372338963,0.0
580,0.0032157493284182,0.003097752634692456,0.0
581,0.0032644682324087,0.0031525230437440496,0.0
582,0.0035252576596524,0.0032009095700834237,0.0
583,0.0033670343460731,0.003242811680193485,0.0
584,0.0033895083915672,0.0032781807889248797,0.0
585,0.0034079099590188,0.003307016972905435,0.0
586,0.0034518022223663,0.003329364966262205,0.0
587,0.0035032361117186,0.00334531332215815,0.0
588,0.0034932811653923,0.0033549858752188856,0.0
589,0.0037691538446455,0.0033585434208005934,0.0
590,0.0037447189763901,0.003356175573123967,0.0
591,0.0037272224040592,0.003348100158246105,0.0
592,0.003644113685487,0.0033345563789427143,0.0
593,0.0033462194583,0.003315803250541618,0.0
594,0.0035786523717659,0.0032921144879375047,0.0
595,0.0031812086813165,0.0032637752162727853,0.0
596,0.0033196729347634,0.0032310808362782653,0.0
597,0.0033115279786783,0.003194335146362368,0.0
598,0.0029269050524369,0.0031538391795114308,0.0
599,0.0027688325713777,0.0031099014432489063,0.0
600,0.0026652106300726,0.003062821812340841,0.0
601,0.0028579745907536,0.0030129019818757874,0.0
602,0.0025125681197368,0.0029604334304297844,0.0
603,0.0024750108222333,0.0029057024261717273,0.0
604,0.002439565180011,0.002848986479627964,0.0
605,0.002353439811037,0.002790552796473118,0.0
606,0.0022665602794624,0.0027306599371526535,0.0
607,0.0023636964224034,0.002669553075936822,0.0
608,0.0024274985784034,0.002607467288355866,0.0
609,0.0025139256124177,0.0025446227847014478,0.0
610,0.0026091009325974,0.0024812280342701967,0.0
611,0.0026416807569379,0.0024174781119342976,0.0
612,0.0021308110113772,0.002353555283125626,0.0
613,0.0021502684064695,0.002289629869875275,0.0
614,0.0020829971025072,0.002225859899985869,0.0
615,0.0020828462699871,0.002162390776007896,0.0
616,0.0014445230449465,0.0020993554412287872,0.0
617,0.0014522155034714,0.0020368748032013593,0.0
618,0.0014383389116227,0.0019750584760616905,0.0
619,0.001419786511651,0.001914004235507328,0.0
620,0.0014731812237645,0.001853800507895767,0.0
621,0.001548899148852,0.0017945263339993937,0.0
622,0.0016410578186299,0.0017362522192097152,0.0
623,0.0016968658510649,0.001679042225307355,0.0
624,0.0017080274575519,0.0016229447919426238,0.0
625,0.001733668985968,0.0015680511263583988,0.0
626,0.00172099905428,0.0015147679064909827,0.0
627,0.0018025994476513,0.001463855701984217,0.0
628,0.0019185896556041,0.0014161825509455695,0.0
629,0.0019464936718216,0.001372581099321186,0.0
630,0.0021682174763607,0.001333786355353596,0.0
631,0.0023265916224601,0.0013004102863268597,0.0
632,0.0024878315864413,0.0012729558327778656,0.0
633,0.0019670068945544,0.001251840268031102,0.0
634,0.0017077257925117,0.00123741924687111,0.0
635,0.0016915867128616,0.0012300159941692331,0.0
636,0.0016796709437741,0.0012299493369952905,0.0
637,0.0017267306900436,0.0012375585836432654,0.0
638,0.0017170774087576,0.0012532269536298531,0.0
639,0.0017556905339018,0.0012774032225145303,0.0
640,0.0016822350966157,0.0013106214749657248,0.0
641,0.0017359314737694,0.0013535230111515156,0.0
642,0.0018466425435189,0.0014068761941471815,0.0
643,0.0018958139450698,0.0014715988035388344,0.0
644,0.0020262840749516,0.0015487819262358302,0.0
645,0.0019734926929185,0.0016397170434770722,0.0
646,0.0019858609595663,0.001745924716388802,0.0
647,0.0020297532229138,0.0018691958810418412,0.0
648,0.0020934045463938,0.0020116217803842133,0.0
649,0.0022311146372402,0.002175644821589096,0.0
650,0.0023321724257036,0.0023641101530749455,0.0
651,0.0026492223829426,0.002580330932020837,0.0
652,0.0026219216968055,0.0028281540227835596,0.0
653,0.0024824016157179,0.0031120375658954995,0.0
654,0.0026866288479261,0.003437146871238118,0.0
655,0.0030143879140918,0.0038094600903733596,0.0
656,0.0035935847912553,0.004235883303693458,0.0
