t,TI,currently_infected,DR,recovered,C,critical,D,deaths,TI+DR+D,total_cases,H,isolated
0.0,4.992556415133328e-05,1.3574926808519608e-06,0.0,0.0,4.524975602839875e-06,0.0,1.0558276406626375e-06,0.0,5.098139179199592e-05,1.3574926808519608e-06,3.01665040189325e-05,0.0
1.0,5.847504684838898e-05,3.318315442082574e-06,3.733508935331537e-06,0.0,4.073946536385152e-06,0.0,1.4637407217043895e-06,0.0,6.36722965054249e-05,3.318315442082574e-06,2.7950448247750182e-05,0.0
2.0,6.444534842135538e-05,4.524975602839873e-06,7.687699399679925e-06,0.0,3.694533496408879e-06,0.0,1.8321562853149598e-06,0.0,7.396520410635026e-05,4.524975602839873e-06,2.60435392090745e-05,0.0
3.0,6.970495497256669e-05,6.636630884165147e-06,1.1807000253169195e-05,0.0,3.389636518446576e-06,0.0,2.1680666003780884e-06,0.0,8.368002182611397e-05,6.636630884165147e-06,2.4412459932719246e-05,0.0
4.0,7.518799864708877e-05,1.0105778846342389e-05,1.609523105278989e-05,0.0,3.15734715892765e-06,0.0,2.4784882686855384e-06,0.0,9.37617179685642e-05,1.0105778846342389e-05,2.303677703829309e-05,0.0
5.0,8.130964286647987e-05,1.4178256888898271e-05,2.058433195798354e-05,0.0,2.9931243713833266e-06,0.0,2.7701192294201636e-06,0.0,0.00010466409405388358,1.4178256888898271e-05,2.190179591094524e-05,0.0
6.0,8.820194458565097e-05,1.4329089408992936e-05,2.5317003862679784e-05,4.22331056265055e-06,2.891071306658215e-06,0.0,3.0491522056421786e-06,0.0,0.00011656810065397294,1.8552399971643484e-05,2.0994818173197506e-05,0.0
7.0,9.582767152121802e-05,1.68932422506022e-05,3.033726265527159e-05,5.882468283691837e-06,2.8444644087170296e-06,0.0,3.321179139689371e-06,0.0,0.00012948611331617898,2.2775710534294035e-05,2.0303072844470356e-05,0.0
8.0,0.00010405026433073164,2.2775710534294035e-05,3.568445201888122e-05,7.692458524827787e-06,2.8460813404541797e-06,0.0,3.591127451666424e-06,0.0,0.00014332584380127928,3.0468169059121818e-05,1.9812533127309436e-05,0.0
9.0,0.00011267585475689733,3.0015671498837834e-05,4.1389816285092146e-05,1.0558276406626374e-05,2.8884216426480066e-06,0.0,3.863224388649614e-06,0.0,0.00015792889543063908,4.057394790546421e-05,1.9507393779558736e-05,0.0
10.0,0.00012148469595833555,3.484231214186703e-05,4.7474343211355515e-05,1.463075444918226e-05,2.9639097974121565e-06,0.0,4.140977896621762e-06,0.0,0.0001731000170663128,4.9473066591049304e-05,1.9369930890558885e-05,0.0
11.0,0.00013024828641056347,4.0875612945653534e-05,5.39482740731563e-05,1.704407477069686e-05,3.0650594045558275e-06,0.0,4.4271819250573265e-06,0.0,0.0001886237424087771,5.79196877163504e-05,1.938077715401254e-05,0.0
12.0,0.0001387480007461121,4.690891374944003e-05,6.08106769058912e-05,1.93065625721168e-05,3.184676258128911e-06,0.0,4.723913423720344e-06,0.0,0.00020428259107572365,6.621547632155684e-05,1.9519271489990876e-05,0.0
13.0,0.00014678693246038062,5.1433889352279904e-05,6.805048921763916e-05,2.247404549410471e-05,3.316008445047243e-06,0.0,5.032595529585146e-06,4.524975602839875e-07,0.00021987001720760494,7.436043240666862e-05,1.976400504891563e-05,0.0
14.0,0.00015419598500744972,5.6109697475214446e-05,7.564763308178593e-05,2.5943193456281948e-05,3.452862626759331e-06,0.0,5.354045153178249e-06,4.524975602839875e-07,0.00023519766324241388,8.250538849178038e-05,2.0093359038611662e-05,0.0
15.0,0.00016083742344720687,6.99862893239234e-05,8.357452423622982e-05,2.880901133808053e-05,3.5896942605186756e-06,0.0,5.6885387644291165e-06,4.524975602839875e-07,0.00025010048644786583,9.924779822224411e-05,2.04860536891862e-05,0.0
16.0,0.0001666073746910986,8.220372345159106e-05,9.179712243846304e-05,2.911067637826986e-05,3.7216865051530275e-06,0.0,6.035850621953571e-06,6.0333008037865e-07,0.0002644403477515152,0.00011191772991014412,2.0921584864437973e-05,0.0
17.0,0.0001714387753987631,8.175122589130708e-05,0.00010027638681200834,3.74064649834763e-05,3.8448323164356264e-06,0.0,6.395315854948186e-06,6.0333008037865e-07,0.00027811047806571964,0.00011976102095514411,2.1380749182187125e-05,0.0
18.0,0.0001752970663656043,8.974534945632419e-05,0.00010897021784740079,4.389226334754679e-05,3.95590328760404e-06,9.04995120567975e-07,6.76592965483321e-06,6.0333008037865e-07,0.00029103321386783826,0.0001342409428842441,2.1845981029609418e-05,4.8266406430292e-06
19.0,0.00017817531146462369,8.959451693622952e-05,0.00011783498131234036,5.1735554392469234e-05,4.052408418711414e-06,9.04995120567975e-07,7.1464240814327935e-06,6.0333008037865e-07,0.00030315671685839687,0.00014193340140904412,2.2301589462728766e-05,5.429970723407849e-06
20.0,0.00018008993043650663,8.763369417499892e-05,0.00012682655113989744,6.365132347994757e-05,4.13252767839154e-06,1.0558276406626377e-06,7.535332838421179e-06,9.04995120567975e-07,0.0003144518144148252,0.0001521900127754441,2.273379913016308e-05,5.5808032435025125e-06
21.0,0.00018107940174403933,8.672869905443093e-05,0.00013590140334460336,7.179627956505935e-05,4.195137277348535e-06,1.0558276406626377e-06,7.931034413951842e-06,1.0558276406626377e-06,0.00032491183950259455,0.0001595808062601441,2.3131081046514554e-05,5.5808032435025125e-06
22.0,0.00018119732047788739,8.341038361234836e-05,0.00014501762618344477,7.948873808988714e-05,4.239665494690324e-06,1.508325200946625e-06,8.331835063583071e-06,1.2066601607573e-06,0.0003345467817249152,0.00016410578186294413,2.348395657846895e-05,6.3349658439758245e-06
23.0,0.00018050669566256942,7.948873808988714e-05,0.00015413557433032398,8.642703401424161e-05,4.265976752704661e-06,1.6591577210412871e-06,8.736025869682877e-06,1.2066601607573e-06,0.0003433782958625763,0.0001671224322648441,2.3784813737080985e-05,7.089128444449137e-06
24.0,0.00017908462529586075,7.556709256742591e-05,0.0001632183446910092,9.351616245869076e-05,4.274540835567164e-06,1.6591577210412871e-06,9.141859792636923e-06,1.508325200946625e-06,0.0003514448297795069,0.0001705915802270441,2.4028531125473095e-05,6.787463404259812e-06
25.0,0.00017700621428445374,7.043878688420739e-05,0.00017223221820914054,0.0001034711087849,4.265985664756683e-06,1.960822761230613e-06,9.5476874121571e-06,1.6591577210412871e-06,0.0003587861199057514,0.00017556905339014412,2.421123484682206e-05,7.089128444449137e-06
