t,TI,currently_infected,DR,recovered,C,critical,D,deaths,TI+DR+D,total_cases,H,isolated
448.0,4.992556415133328e-05,1.0407443886531712e-05,0.0,1.5083251999996328e-07,4.524975602839875e-06,0.0,1.0558276406626375e-06,0.0,5.098139179199592e-05,6.033300804001406e-07,3.01665040189325e-05,4.524975602839875e-07
449.0,5.3334658982349694e-05,1.1312439007099688e-05,4.612047334288246e-06,1.5083251999996328e-07,4.1496018318967195e-06,0.0,1.2031931534359336e-06,0.0,5.9149899470073875e-05,1.5083252010001345e-06,2.767593263267206e-05,4.524975602839875e-07
450.0,5.5105549130220464e-05,1.2368266647762324e-05,9.445898563700543e-06,3.0166504010010683e-07,3.811213752387111e-06,0.0,1.3384217008019296e-06,0.0,6.588986939472294e-05,2.7149853616998017e-06,2.5423915400934396e-05,3.01665040189325e-07
451.0,5.6164766875826255e-05,1.3725759328614288e-05,1.440068992530346e-05,6.033300802999603e-07,3.5091803187120233e-06,0.0,1.4627667661754844e-06,0.0,7.202822356730521e-05,4.37414308280008e-06,2.3383654402693306e-05,4.524975602839875e-07
452.0,5.704213677995362e-05,1.3424094288424962e-05,1.9438431884349673e-05,1.3574926808002444e-06,3.241925051969784e-06,0.0,1.577438759553062e-06,0.0,7.805800742385636e-05,4.8266406429998965e-06,2.1534067111881618e-05,4.524975602839875e-07
453.0,5.8031978828480665e-05,1.2066601607573e-05,2.455766586032993e-05,2.8658178817999452e-06,3.007412913899786e-06,0.0,1.6835866186785096e-06,0.0,8.427323130748911e-05,4.97747316310004e-06,1.985787492780147e-05,4.524975602839875e-07
454.0,5.929994906508694e-05,1.1312439007099688e-05,2.977616140433114e-05,4.22331056260019e-06,2.80346844641829e-06,0.0,1.7822882421665444e-06,0.0,9.085839871158463e-05,5.580803243500181e-06,1.8340325428059836e-05,6.0333008037865e-07
455.0,6.093005438710553e-05,1.0859941446815698e-05,3.5123477195622565e-05,4.82664064300033e-06,2.627925288912461e-06,0.0,1.8745449200616916e-06,0.0,9.792807650278978e-05,5.7316357635998905e-06,1.6968672085411915e-05,4.524975602839875e-07
456.0,6.296965848190247e-05,1.0709108926721035e-05,4.063411582069093e-05,5.580803243500181e-06,2.4787395943193767e-06,0.0,1.9612867144728854e-06,0.0,0.00010556506101706629,6.334965844000031e-06,1.5731557199683795e-05,4.524975602839875e-07
457.0,6.544570300421522e-05,9.804113806153062e-06,4.634529388084118e-05,6.485798363999994e-06,2.354027930545639e-06,0.0,2.0433770944779793e-06,0.0,0.00011383437397953437,6.334965844000031e-06,1.4618781537937095e-05,4.524975602839875e-07
458.0,6.836878747965044e-05,9.200783725774413e-06,5.2296725409904524e-05,7.994123565000129e-06,2.2520732253042637e-06,1.508325200946625e-07,2.121617793644549e-06,0.0,0.00012278713068319952,7.239960964600025e-06,1.3621237687865442e-05,4.524975602839875e-07
459.0,7.174792683681364e-05,7.692458524827787e-06,5.85285978304108e-05,9.95494632620008e-06,2.1713484714660456e-06,1.508325200946625e-07,2.196756117688021e-06,0.0,0.00013247328078491244,7.692458524799842e-06,1.2730655744614792e-05,7.541626004733125e-07
460.0,7.55918947696091e-05,7.84329104492245e-06,6.508175249176913e-05,1.1161606487000361e-05,2.1105087205924337e-06,1.508325200946625e-07,2.2694913216150618e-06,0.0,0.0001429431385829933,9.049951205699833e-06,1.1939544016800463e-05,7.541626004733125e-07
