t,TI,currently_infected,DR,recovered,D,deaths,TI+DR+D,total_cases
348.0,9.012521446064727e-05,0.0001098163424477,0.0,7.095194695499671e-06,0.0,6.074277050000952e-08,9.012521446064727e-05,1.0391404794298995e-05
349.0,8.373966067911944e-05,0.0001078045126161,8.689399515792701e-06,1.6795741955800622e-05,1.6980165456695077e-07,1.178263379000014e-07,9.25988618494791e-05,1.8137205790400013e-05
350.0,7.807042446480978e-05,0.0001075125082135,1.6776388792951613e-05,2.7068588571699942e-05,3.329917813061591e-07,1.9393776120000823e-07,9.517980503906756e-05,2.819415942689925e-05
351.0,7.316182440799524e-05,0.0001110260749729,2.4335832933346895e-05,3.570357590659996e-05,4.897448759968046e-07,2.949317651000069e-07,9.798740221733894e-05,4.044370752519927e-05
352.0,6.901976240487733e-05,0.0001141568890944,3.144205912616031e-05,4.461666267259988e-05,6.402768375979229e-07,3.8275263800000286e-07,0.00010110209836863557,5.257542928559927e-05
353.0,6.562898723785759e-05,0.0001167944426459,3.817442313982958e-05,5.396299907860051e-05,7.848776542345411e-07,4.654506267999975e-07,0.00010458828803192171,6.46420172319001e-05
354.0,6.297230217446146e-05,0.0001203958302784,4.4598149968077936e-05,6.253870732420008e-05,9.238376012734573e-07,5.481486155000016e-07,0.00010849428974381285,7.690181109869937e-05
355.0,6.10273660490898e-05,0.0001234117454243,5.080304088095591e-05,7.07960649054002e-05,1.0576519194978295e-06,6.257237199000097e-07,0.00011288805884954353,8.825265893019907e-05
356.0,5.9786734444422556e-05,0.0001232112210977,5.683178066184382e-05,7.992138544769996e-05,1.1866114437533025e-06,6.923212153000044e-07,0.00011780512655001968,9.724405264129911e-05
357.0,5.923478915828398e-05,0.0001245051152928,6.277592905438148e-05,8.952532974780027e-05,1.3113325025785688e-06,7.640415949000044e-07,0.00012332205071524403,0.0001082136115160004
358.0,5.937244808030844e-05,0.0001269106753716,6.870028634290277e-05,9.97937853200008e-05,1.4323663767139794e-06,8.291754090000031e-07,0.0001295051007999252,0.00012095276098120049
359.0,6.020063507108528e-05,0.0001290374041788,7.467305190357215e-05,0.0001099070906831999,1.5503266733245687e-06,9.118733977000072e-07,0.000136424013647982,0.00013327549314029984
360.0,6.172292386433108e-05,0.0001319237835371,8.076346880577785e-05,0.00012032264621759936,1.665878349857439e-06,9.909121833999977e-07,0.00014415227101996638,0.00014665646681870023
361.0,6.395153409917515e-05,0.0001350414245276,8.70418198663782e-05,0.00013085675993059973,1.7797434348789204e-06,1.0640962442000032e-06,0.00015277309740043227,0.00016038140558289997
362.0,6.690306553502816e-05,0.0001381327192562,9.357928258353072e-05,0.00014130598013300036,1.8926844385493635e-06,1.1350847832000005e-06,0.00016237503255710824,0.0001739929090529002
363.0,7.059810479548786e-05,0.0001371923040748,0.00010044833774082295,0.00015345160686490097,2.0055107874452805e-06,1.1914365100000032e-06,0.0001730519533237561,0.00018525447233029915
364.0,7.505509419713652e-05,0.0001350963125732,0.0001077245910514331,0.00016856557910330076,2.119084526262785e-06,1.2887713109000019e-06,0.0001848987697748324,0.00019836978786800033
365.0,8.029642179700115e-05,0.0001384832709074,0.00011548557975023368,0.00018181189410980056,2.234304274350396e-06,1.3809832275000046e-06,0.00019801630582158523,0.00021509527312539925
366.0,8.63497648024517e-05,0.0001443460460189,0.00012381127351191216,0.00019290440220670092,2.352115357447338e-06,1.466608578600006e-06,0.0002125131536718112,0.0002321361816849006
367.0,9.324971993295283e-05,0.0001478479033286,0.0001327842353926161,0.00020750974522249985,2.473516362602698e-06,1.5690662638000007e-06,0.00022850747168817162,0.00025034583969549967
368.0,0.00010103225503091794,0.0001540846489908,0.00014249095688220165,0.00021968537741940027,2.599554489807432e-06,1.686892601700002e-06,0.000246122766402927,0.00026887604389250024
369.0,0.00010973534752003252,0.0001604648354122,0.00015302166415359587,0.00023245965523369973,2.73132431399098e-06,1.7732497934000061e-06,0.0002654883359876194,0.0002881168653199005
370.0,0.00011940040072003692,0.000163516610748,0.0001644704617289623,0.0002472362489517998,2.869974076037007e-06,1.8691209130999994e-06,0.00028674083652503626,0.0003060411054934004
371.0,0.00013007116536589822,0.0001715478295812,0.00017693570708915562,0.0002602198331799997,3.016706556558447e-06,2.006706947400001e-06,0.00031002357901161224,0.0003271934945891994
372.0,0.0001417935068969404,0.0001846902232214,0.00019052023160153457,0.00027320341740819966,3.1727811129491182e-06,2.132583532000009e-06,0.0003354865196114241,0.0003534453490422005
373.0,0.0001546153175489254,0.0001985351838453,0.0002053316645210922,0.0002883188533278,3.3395180944660953e-06,2.245286985600001e-06,0.0003632865001644837,0.0003825184490393995
374.0,0.00016858594885216214,0.0002110584403311,0.00022148213235602762,0.0003056290792311008,3.5182950194880207e-06,2.3828730200000064e-06,0.0003935863762276777,0.0004124895174626997
375.0,0.00018375591252131515,0.0002262024180344,0.00023908946193622167,0.0003224292122304996,3.7105628307713e-06,2.527045619800009e-06,0.0004265559372883081,0.0004445778007652994
376.0,0.00020017667933703255,0.0002449075321367,0.0002582758251527068,0.00033792959631000034,3.917828355378563e-06,2.6821958287000025e-06,0.000462370332845118,0.0004789384491560005
377.0,0.0002179009267650417,0.0002527609137022,0.00027916872819423874,0.00035972746882209986,4.1416673553337114e-06,2.827832109699997e-06,0.0005012113223146141,0.0005087353395146002
378.0,0.00023698008830294368,0.000269651794937,0.00030190080331217575,0.00037722358223989984,4.383729591568659e-06,3.0290882769000053e-06,0.0005432646212066881,0.0005433235903343995
379.0,0.00025746667573080836,0.0002892175535945,0.00032661069949650826,0.00039661003994830024,4.645743364085629e-06,3.2127802695999986e-06,0.0005887231185914022,0.0005824594986928999
380.0,0.0002794128301061845,0.0003081531974883,0.00035344231875866425,0.00042075126608760033,4.929510021680701e-06,3.400863305800004e-06,0.0006377846588865294,0.0006257244517623006
381.0,0.00030286783145461004,0.0003312654557326,0.0003825435007845587,0.00044298897480520016,5.236894490433871e-06,3.6138289228000096e-06,0.0006906482267296026,0.0006712873843411991
382.0,0.0003278814603406612,0.0003559014061229,0.00041406785566450643,0.0004640213420411994,5.569838856129075e-06,3.842163192500008e-06,0.0007475191548612966,0.0007171840362373005
383.0,0.00035450061629681707,0.0003818802840291,0.00044817341603505515,0.0004876092966807997,5.930362230049637e-06,4.0551288095e-06,0.0008086043945619219,0.0007669638343999006
384.0,0.0003827696671268993,0.0003957208536094,0.00048502274375900224,0.0005147078907172999,6.320559874635324e-06,4.253457614299998e-06,0.0008741129707605369,0.0008081013268215996
385.0,0.0004127349944426717,0.0004043902374529,0.000524778808353753,0.0005449182710195004,6.742522530197252e-06,4.5125291895000005e-06,0.000944256325326622,0.0008472401625424994
386.0,0.00044442364582550104,0.0004274351663612,0.0005676252759580201,0.0005744714584555999,7.198714783226886e-06,4.848444028599999e-06,0.0010192476365667481,0.0009001741937260995
387.0,0.00047787888407753367,0.0004498594944339,0.0006137249402779791,0.0006113240241168993,7.691238525032489e-06,5.191677273800002e-06,0.001099295062880545,0.0009597943207052002
388.0,0.0005131284972150158,0.0004822163632396,0.0006632599713780989,0.0006436728426759009,8.222536909549632e-06,5.714211468000005e-06,0.0011846110055026642,0.0010250225422641993
389.0,0.0005501967218825494,0.0005061387690371,0.0007164112880992255,0.000687618407510901,8.79505926943189e-06,6.089645700000008e-06,0.0012754030692512066,0.0010932659471285001
390.0,0.0005891049493527015,0.0005429013183035,0.000773361626731598,0.0007262939881269009,9.411306804510503e-06,6.439465510600008e-06,0.00137187788288881,0.0011690538968215994
391.0,0.000629870181609336,0.0005768535996349,0.0008342954249480709,0.0007629906717386004,1.0073841117140249e-05,6.765866421899999e-06,0.0014742394476745472,0.0012400292626759991
392.0,0.0006725004181917221,0.0006172877932322,0.0008993986650090645,0.0008067957231768005,1.0785281490918729e-05,7.226926005000003e-06,0.0015826843646917052,0.0013247295672944998
393.0,0.0007169990655595751,0.0006662084105209,0.0009688580078592384,0.0008501631339312993,1.1548279786508926e-05,7.72823682150001e-06,0.0016974053532053223,0.0014175189061543993
