t,TI,currently_infected,DR,recovered,C,critical,D,deaths,TI+DR+D,total_cases,H,isolated
0.0,5.489457621022308e-06,3.6651665687188217e-06,0.0,1.658446411184987e-08,4.975339233554962e-07,4.311960669080967e-07,1.160912487829491e-07,1.160912487829491e-07,5.605548869805257e-06,3.7978422816136206e-06,3.3168928223699742e-06,1.5589396265138879e-06
1.0,6.362236894837666e-06,5.15776833878531e-06,1.5722947568910282e-07,1.658446411184987e-08,5.475818991455178e-07,5.804562439147455e-07,1.6404430876440556e-07,1.6584464111849873e-07,6.683510679291174e-06,5.340197444015659e-06,3.628343037897172e-06,2.6866831861196792e-06
2.0,7.164606611942551e-06,6.3850186830622e-06,3.343111353188571e-07,4.9753392335549615e-08,6.107652322994287e-07,5.970407080265954e-07,2.172382115115175e-07,1.9901356934219846e-07,7.716155958772925e-06,6.6337856447399484e-06,4.01215187730295e-06,3.6651665687188217e-06
3.0,7.998067833527343e-06,9.751664897767724e-06,5.3196215947369e-07,7.463008850332442e-07,6.866161754949485e-07,9.287299902635928e-07,2.7682309454017966e-07,2.8193588990144784e-07,8.806853087541213e-06,1.0779901672702417e-05,4.463073925665231e-06,4.709987807765364e-06
4.0,8.95259323217953e-06,1.3615845035828744e-05,7.526733895969956e-07,7.628853491450941e-07,7.789395832855217e-07,1.0614057031583917e-06,3.4414708725254493e-07,3.482737463488473e-07,1.004941370902907e-05,1.4727004131322686e-05,4.99532894497162e-06,6.832799214082147e-06
5.0,1.0104522787701354e-05,1.7397102853330514e-05,1.0006694430369842e-06,8.292232055924936e-07,8.939444597737616e-07,1.7413687317442365e-06,4.2092164373843566e-07,4.809494592436462e-07,1.1526113874476773e-05,1.8707275518166654e-05,5.635557537680693e-06,9.00536401273448e-06
6.0,1.1528675845871038e-05,2.6153699904387246e-05,1.2819671505915884e-06,1.3765105212835394e-06,1.0381645603783366e-06,2.321824975658982e-06,5.09561781272494e-07,5.638717798028957e-07,1.3320204777735121e-05,2.8094082205473683e-05,6.414481332815922e-06,1.3234402361256198e-05
7.0,1.3305534072807841e-05,3.0432491645244514e-05,1.6044539428909565e-06,2.471085152665631e-06,1.2196404207979754e-06,2.753021042567079e-06,6.131225834758017e-07,8.623921338161934e-07,1.55231105991746e-05,3.3765968931726336e-05,7.370970614482484e-06,1.5373798231684832e-05
8.0,1.5527201573930232e-05,3.753064228511626e-05,1.978151131306434e-06,2.6535142578959796e-06,1.4478787630294355e-06,3.7978422816136206e-06,7.354508863713947e-07,1.3101726648361398e-06,1.824080359160806e-05,4.149432920784838e-05,8.551952759253763e-06,1.6584464111849872e-05
9.0,1.830264989015801e-05,4.4877559886665754e-05,2.4156425885617714e-06,4.577312094870565e-06,1.7342098300525524e-06,4.892416912995712e-06,8.813582612340275e-07,1.7745376599679364e-06,2.159965073995381e-05,5.122940964150425e-05,1.0014115715460518e-05,1.7662454279120114e-05
